课程号,学号,教师编号,选课成绩,
0,0,0,99,
1,0,1,99,
2,1,2,99,
3,1,3,99,
4,2,4,99,
5,2,5,99,
6,3,6,99,
7,3,7,99,
8,4,8,99,
9,4,9,99,
10,5,0,99,
11,5,1,99,
12,6,2,99,
13,6,3,88,
14,7,4,88,
15,7,5,88,
16,8,6,88,
17,8,7,88,
18,9,8,88,
19,9,9,88,
20,10,0,88,
21,10,1,88,
22,11,2,88,
23,11,3,88,
24,12,4,88,
25,12,5,88,
26,13,6,88,
27,13,7,77,
28,14,8,77,
29,14,9,77,
30,15,0,77,
31,15,1,77,
0,16,0,77,
1,16,1,77,
2,17,2,77,
3,17,3,77,
4,18,4,77,
5,18,5,77,
6,19,6,77,
7,19,7,77,
8,20,8,77,
9,20,9,66,
10,21,0,66,
11,21,1,66,
12,22,2,66,
13,22,3,66,
14,23,4,66,
15,23,5,66,
16,24,6,66,
17,24,7,66,
18,25,8,66,
19,25,9,66,
20,26,0,66,
21,26,1,66,
22,27,2,66,
23,28,3,66,
24,28,4,66,
25,29,5,66,
26,29,6,66,
27,30,7,66,
28,30,8,55,
29,27,9,55,
30,26,0,55,
31,30,1,55,
